Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QF11	20181112	22,2018-11-12 22:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181112_221255.avi,1520.040,25.0,Queen (98),incubate,,STATE,56.320,65.880,9.560,,
nest	QF11	20181118	20,2018-11-18 20:00:06,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_203719.avi,838.160,25.0,Queen (98),broodmanipulate,,STATE,60.356,129.864,69.508,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 2 (17),nectarforaging,,STATE,62.105,86.005,23.900,,
nest	QF11	20181119	21,2018-11-19 21:00:03,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_210951.avi,1732.040,25.0,Worker 2 (17),feedsbrood,,POINT,62.250,62.250,NA,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 4 (52),nectarforaging,,STATE,69.564,96.111,26.547,,
for	QF11	20181113	3		,2018-11-13 03:00:51,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_030500.avi,960.440,25.0,Worker 5 (65),nectarforaging,,STATE,71.460,116.752,45.292,,
nest	QF11	20181112	22,2018-11-12 22:00:38,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181112_221255.avi,1520.040,25.0,Queen (98),incubate,,STATE,75.760,115.040,39.280,,
for	QF11	20181119	16,2018-11-19 16:00:04,G:/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/AllRounds/QF/QF11/05_forQF11_1_20181119_161017.avi,1777.000,25.0,Worker 5 (65),nectarforaging,,STATE,81.116,181.536,100.420,,
nest	QF11	20181118	14,2018-11-18 14:00:29,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181118_143430.avi,1024.320,25.0,Queen (98),incubate,,STATE,81.351,101.275,19.924,,
nest	QF11	20181120	7,2018-11-20 07:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181120_070450.avi,1688.200,25.0,Worker 3 (42),feedsbrood,,POINT,82.231,82.231,NA,,
nest	QF11	20181113	6,2018-11-13 06:00:42,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_060516.avi,930.280,25.0,Queen (98),broodmanipulate,,STATE,82.663,85.366,2.703,,
nest	QF11	20181120	7,2018-11-20 07:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181120_070450.avi,1688.200,25.0,Worker 2 (17),feedsbrood,,POINT,84.454,84.454,NA,,
for	QF11	20181113	6,2018-11-13 06:00:49,/Volumes/GoogleDrive/My Drive/Videos/AllRounds/QF/QF11/05_forQF11_1_20181113_060646.avi,913.360,25.0,Worker 5 (65),pollenforaging,,STATE,85.965,88.815,2.850,,
nest	QF11	20181113	21,2019-10-10 08:42:38,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181113_210958.avi,821.240,25.0,Queen (98),broodmanipulate,,STATE,86.857,94.003,7.146,,
nest	QF11	20181119	16,2018-11-19 16:00:10,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QF/QF11/05_nestQF11_1_20181119_160902.avi,1759.720,25.0,Queen (98),broodmanipulate,,STATE,88.605,109.102,20.497,,
