Observation id,Observation date,Media file,Total length,FPS,Subject,Behavior,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,incubate,,STATE,114.550,246.106,131.556,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,broodmanipulate,,STATE,115.060,116.155,1.095,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,broodmanipulate,,STATE,115.586,145.888,30.302,,
nest	QA09	20180815	7,2019-01-07 13:43:24,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_073419.avi,3595.280,25.0,Queen,incubate,,STATE,121.240,228.920,107.680,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,incubate,,STATE,121.960,190.600,68.640,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,incubate,,STATE,122.275,128.571,6.296,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,broodmanipulate,,STATE,123.666,146.483,22.817,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,broodmanipulate,,STATE,130.169,144.240,14.071,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,incubate,,STATE,136.080,147.760,11.680,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,broodmanipulate,,STATE,137.993,142.895,4.902,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,broodmanipulate,,STATE,141.840,175.520,33.680,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,incubate,,STATE,142.896,229.545,86.649,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,incubate,,STATE,144.241,220.220,75.979,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,incubate,,STATE,148.760,251.200,102.440,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,broodmanipulate,,STATE,149.012,164.936,15.924,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,incubate,,STATE,149.709,214.949,65.240,,
nest	QA09	20180814	12,2018-08-14 12:00:28,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_nestQA09_1_20180814_120504.avi,2297.480,25.0,Queen,feedsbrood,,POINT,158.480,158.480,NA,,
nest	QA09	20180815	13,2018-08-15 13:00:49,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_133438.avi,3575.320,25.0,Queen,broodmanipulate,,STATE,160.240,164.280,4.040,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,broodmanipulate,,STATE,167.015,182.165,15.150,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,broodmanipulate,,STATE,169.540,265.014,95.474,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,incubate,,STATE,180.000,212.639,32.639,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,181.801,182.825,1.024,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,184.897,192.097,7.200,,
nest	QA09	20180815	13,2018-08-15 13:00:49,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_133438.avi,3575.320,25.0,Queen,broodmanipulate,,STATE,185.920,198.480,12.560,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,broodmanipulate,,STATE,192.491,209.865,17.374,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,broodmanipulate,,STATE,192.560,300.480,107.920,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,broodmanipulate,,STATE,212.640,269.920,57.280,,
nest	QA09	20180815	13,2018-08-15 13:00:49,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_133438.avi,3575.320,25.0,Queen,incubate,,STATE,215.920,305.439,89.519,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,broodmanipulate,,STATE,219.110,223.341,4.231,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,broodmanipulate,,STATE,220.746,301.997,81.251,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,broodmanipulate,,STATE,226.371,263.103,36.732,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,broodmanipulate,,STATE,227.686,290.310,62.624,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,broodmanipulate,,STATE,229.546,234.971,5.425,,
nest	QA09	20180815	7,2019-01-07 13:43:24,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_073419.avi,3595.280,25.0,Queen,broodmanipulate,,STATE,233.080,298.359,65.279,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,feedsbrood,,POINT,233.573,233.573,NA,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,feedsbrood,,POINT,236.250,236.250,NA,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,236.575,241.246,4.671,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,waxmanipulate,,STATE,248.377,253.702,5.325,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,broodmanipulate,,STATE,250.652,259.945,9.293,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,broodmanipulate,,STATE,253.703,300.028,46.325,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,feedsbrood,,POINT,254.008,254.008,NA,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,broodmanipulate,,STATE,256.320,300.279,43.959,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,incubate,,STATE,259.946,291.450,31.504,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,broodmanipulate,,STATE,271.247,273.945,2.698,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,broodmanipulate,,STATE,272.621,279.372,6.751,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,incubate,,STATE,275.920,300.279,24.359,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,feedsbrood,,POINT,276.570,276.570,NA,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,broodmanipulate,,STATE,286.817,303.334,16.517,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,incubate,,STATE,290.311,301.684,11.373,,
nest	QA09	20180820	12,2018-08-20 12:00:19,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_121704.avi,2336.880,25.0,Queen,end,,POINT,291.451,291.451,NA,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,feedsbrood,,POINT,296.450,296.450,NA,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,broodmanipulate,,STATE,297.251,303.173,5.922,,
nest	QA09	20180815	12,2018-08-15 12:00:27,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_123435.avi,3601.280,25.0,Queen,end,,POINT,300.029,300.029,NA,,
nest	QA09	20180813	1,2018-08-13 01:00:42,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_013111.avi,1740.960,25.0,Queen,end,,POINT,300.280,300.280,NA,,
nest	QA09	20180813	19,2018-08-13 19:00:05,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180813_093339.avi,2073.600,25.0,Queen,end,,POINT,300.280,300.280,NA,,
nest	QA09	20180815	7,2019-01-07 13:43:24,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_073419.avi,3595.280,25.0,Queen,end,,POINT,300.360,300.360,NA,,
nest	QA09	20180819	7,2018-08-19 07:00:55,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_071238.avi,2437.360,25.0,Queen,end,,POINT,300.600,300.600,NA,,
nest	QA09	20180820	13,2018-08-20 13:00:41,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_131717.avi,2417.600,25.0,Queen,end,,POINT,301.400,301.400,NA,,
nest	QA09	20180819	18,2018-08-19 18:00:13,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_181414.avi,2259.040,25.0,Queen,end,,POINT,301.685,301.685,NA,,
nest	QA09	20180820	10,2018-08-20 10:00:53,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_101650.avi,2130.320,25.0,Queen,end,,POINT,301.998,301.998,NA,,
nest	QA09	20180820	5,2018-08-20 05:00:47,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180820_051558.avi,2193.360,25.0,Queen,end,,POINT,302.524,302.524,NA,,
nest	QA09	20180814	1,2018-08-14 01:00:23,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180814_010149.avi,1276.720,25.0,Queen,end,,POINT,303.174,303.174,NA,,
nest	QA09	20180819	23,2018-08-19 23:00:45,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180819_231458.avi,2044.480,25.0,Queen,end,,POINT,303.335,303.335,NA,,
nest	QA09	20180815	13,2018-08-15 13:00:49,/Volumes/GoogleDrive/.shortcut-targets-by-id/0BxvAlFfkSNK7UVZBbV9heVhLcjQ/WoodardLab.shared/Projects & Experiments/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_nestQA09_1_20180815_133438.avi,3575.320,25.0,Queen,end,,POINT,305.440,305.440,NA,,
for	QA09	20180821	6,2018-08-21 06:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_forQA09_1_20180821_064734.avi,2985.640,25.0,Queen,nectarforaging,,STATE,439.127,544.294,105.167,,
for	QA09	20180821	6,2018-08-21 06:00:33,/Volumes/GoogleDrive/My Drive/WoodardLab.shared/Kaleigh_Ericas_Awesome_Summer_Experiments/Videos/Rounds1_2/QA/QA09/05_forQA09_1_20180821_064734.avi,2985.640,25.0,Queen,nectarforaging,,STATE,934.397,955.071,20.674,,
for	QA09	20180820	10,2018-08-20 10:00:22,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180820_101920.avi,1968.680,25.0,Queen,nectarforaging,,STATE,1123.740,1205.141,81.401,,
QA09	20180815	13,2018-08-15 13:00:38,/Volumes/GoogleDrive/My Drive/2018.Awesome.Summer.Experiments/Videos/AllRounds/QA/QA09/05_forQA09_1_20180815_133518.avi,3536.840,25.0,Queen,nectarforaging,,STATE,1355.002,1367.103,12.101,,
